benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_search_10.sl,CVC4-1.5-syguscomp2015-v4,complete,0.593909,0.472457,106088,correct,(findIdx 40976),-,1,sat,40976,1,117,6056903,CVC4
General-Track/array_search_10.sl,Enumerative Solver,timeout (cpu),3600.08,3598.67,3126036,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,180,1708,Enumerative
General-Track/array_search_10.sl,sketch-ac-tmp,timeout (wallclock),14298,3600.09,36800000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,6,101,sketch-ac
General-Track/array_search_10.sl,Sosy Toast,timeout (wallclock),3599.02,3600.02,723964,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,107,101,Soasy Toast
General-Track/array_search_10.sl,Sosy Toast Variant 2,timeout (wallclock),3596.07,3600.02,729792,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,86,10019,Soasy Toast v2
General-Track/array_search_10.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.06,3598.71,13700000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,65,633,sketch-14
General-Track/array_search_10.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.1,3458.83,35200000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,132,633,
General-Track/array_search_11.sl,CVC4-1.5-syguscomp2015-v4,complete,1.19182,0.887627,106088,correct,(findIdx 101181),-,1,sat,101181,1,,,
General-Track/array_search_11.sl,Enumerative Solver,timeout (cpu),3600.03,3598.61,2939152,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_11.sl,sketch-ac-tmp,timeout (wallclock),14290.6,3600.08,36900000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_11.sl,Sosy Toast,timeout (wallclock),3599.27,3600.02,750404,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_11.sl,Sosy Toast Variant 2,timeout (wallclock),3598.49,3600.02,750324,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_11.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.01,3598.81,13600000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_11.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.07,3212.43,35200000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_12.sl,CVC4-1.5-syguscomp2015-v4,complete,2.00769,1.44122,350488,correct,(findIdx 184376),-,1,sat,184376,1,,,
General-Track/array_search_12.sl,Enumerative Solver,timeout (cpu),3600.05,3598.61,3189052,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_12.sl,sketch-ac-tmp,timeout (wallclock),14307.3,3600.08,37000000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_12.sl,Sosy Toast,timeout (cpu),3600.03,3598.51,393248,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_12.sl,Sosy Toast Variant 2,timeout (cpu),3600.03,3598.21,393248,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_12.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.02,3599.31,13300000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
